Carburant,ID,Date,Prix
,,,
GPLc,4,2015-02-06 10:10:31,0.869
SP95,2,2022-10-21 14:13:35,2.199
Gazole,1,2022-11-10 15:36:18,2.060
SP95,2,2022-11-10 15:36:19,1.920
SP95,2,2022-12-06 10:49:23,1.780
Gazole,1,2022-12-06 10:49:23,1.870
SP95,2,2023-01-02 15:18:36,2.064
SP98,6,2023-04-07 09:06:24,1.990
Gazole,1,2023-04-08 10:02:12,2.600
SP95,2,2023-04-08 10:02:12,2.740
SP98,6,2023-04-08 10:02:12,2.770
GPLc,4,2023-05-01 19:32:13,0.999
Gazole,1,2023-05-16 16:16:07,1.899
SP95,2,2023-05-16 16:16:07,1.989
GPLc,4,2023-07-17 09:18:49,0.999
GPLc,4,2023-08-16 17:03:13,1.000
Gazole,1,2023-08-16 17:13:08,1.990
SP95,2,2023-08-16 17:13:08,1.990
SP98,6,2023-08-16 17:13:09,1.990
GPLc,4,2023-08-17 09:04:07,1.099
SP95,2,2023-08-22 19:37:56,1.989
Gazole,1,2023-08-31 13:21:04,1.959
SP98,6,2023-09-19 16:03:28,2.099
Gazole,1,2023-10-05 10:47:37,1.990
SP95,2,2023-10-05 10:47:37,1.990
Gazole,1,2023-10-11 18:02:49,1.990
SP95,2,2023-10-11 18:02:49,1.990
Gazole,1,2023-11-08 10:54:25,1.970
SP95,2,2023-11-08 10:54:25,1.980
GPLc,4,2023-11-10 12:58:22,0.999
GPLc,4,2023-11-24 08:48:32,0.970
GPLc,4,2023-12-08 08:30:00,1.005
Gazole,1,2023-12-15 10:31:34,1.890
SP95,2,2023-12-15 10:31:34,1.960
Gazole,1,2023-12-18 19:58:44,1.990
GPLc,4,2023-12-19 15:36:03,0.915
SP95,2,2023-12-20 19:55:00,1.990
GPLc,4,2024-01-02 16:27:21,1.099
Gazole,1,2024-01-10 12:09:36,2.200
SP98,6,2024-01-10 12:09:36,2.400
SP95,2,2024-01-24 15:38:26,1.859
Gazole,1,2024-01-25 00:01:00,1.789
GPLc,4,2024-02-21 15:28:49,1.090
Gazole,1,2024-02-27 10:43:15,1.930
SP95,2,2024-02-27 10:43:15,1.980
Gazole,1,2024-03-01 18:47:59,1.920
SP95,2,2024-03-01 18:47:59,1.950
SP95,2,2024-03-05 15:46:27,1.999
Gazole,1,2024-03-12 12:22:17,1.990
SP95,2,2024-03-12 12:22:17,1.990
SP98,6,2024-03-12 12:22:17,1.990
SP95,2,2024-04-05 09:38:03,1.990
GPLc,4,2024-04-13 05:00:00,1.083
GPLc,4,2024-04-16 08:39:46,0.928
GPLc,4,2024-04-20 19:00:00,0.999
GPLc,4,2024-04-29 09:17:41,0.919
GPLc,4,2024-05-03 07:02:54,0.999
Gazole,1,2024-05-14 07:13:50,1.949
SP95,2,2024-05-14 07:13:50,1.999
SP98,6,2024-05-15 13:40:00,2.069
E85,3,2024-05-15 14:59:14,0.849
GPLc,4,2024-05-24 10:17:53,0.999
Gazole,1,2024-06-03 15:42:24,1.847
Gazole,1,2024-06-05 00:01:00,1.820
E10,5,2024-06-05 00:01:00,1.942
SP98,6,2024-06-05 00:01:00,1.990
GPLc,4,2024-06-08 10:30:06,1.410
GPLc,4,2024-06-10 09:27:40,1.099
E10,5,2024-06-13 17:27:39,1.980
E85,3,2024-06-20 18:33:36,0.999
Gazole,1,2024-06-20 18:51:48,1.763
E10,5,2024-06-20 18:51:49,1.839
SP98,6,2024-06-20 18:51:49,1.949
Gazole,1,2024-06-21 09:22:12,1.797
E10,5,2024-06-21 09:22:12,1.889
GPLc,4,2024-06-26 19:28:04,0.979
SP98,6,2024-06-27 08:15:43,1.980
GPLc,4,2024-07-02 12:10:19,0.999
GPLc,4,2024-07-05 09:12:19,1.019
E85,3,2024-07-18 12:56:21,0.849
GPLc,4,2024-07-19 08:21:34,0.945
SP98,6,2024-07-20 14:32:58,1.939
SP95,2,2024-08-02 09:33:12,1.839
SP98,6,2024-08-02 09:33:12,1.880
E85,3,2024-08-04 07:48:30,0.890
GPLc,4,2024-08-06 10:39:51,0.969
GPLc,4,2024-08-07 09:38:00,0.999
GPLc,4,2024-08-09 08:00:00,1.050
E85,3,2024-08-09 19:06:13,1.109
GPLc,4,2024-08-09 19:36:07,1.250
E85,3,2024-08-12 04:14:42,0.889
E85,3,2024-08-12 08:24:40,0.850
E85,3,2024-08-14 18:00:00,0.919
GPLc,4,2024-08-19 08:22:32,0.997
E85,3,2024-08-19 09:13:13,0.848
E85,3,2024-08-19 10:49:20,0.799
GPLc,4,2024-08-20 08:40:19,0.985
E85,3,2024-08-21 16:13:38,0.799
E85,3,2024-08-22 11:52:41,0.879
SP98,6,2024-08-23 12:14:55,1.789
GPLc,4,2024-08-31 20:00:00,0.975
GPLc,4,2024-09-04 09:31:43,0.918
GPLc,4,2024-09-05 00:01:00,1.089
E85,3,2024-09-05 16:43:08,0.999
E85,3,2024-09-05 16:56:02,0.999
E85,3,2024-09-06 10:16:47,0.899
SP95,2,2024-09-06 10:16:47,1.750
E85,3,2024-09-09 00:01:00,0.769
Gazole,1,2024-09-09 00:01:00,1.671
E10,5,2024-09-09 00:01:00,1.743
SP98,6,2024-09-09 00:01:00,1.853
Gazole,1,2024-09-09 08:21:54,1.890
SP95,2,2024-09-09 08:21:54,1.990
GPLc,4,2024-09-09 13:27:03,0.978
E85,3,2024-09-10 15:07:29,0.899
SP95,2,2024-09-10 15:07:29,1.799
Gazole,1,2024-09-11 18:26:13,1.649
SP95,2,2024-09-11 18:26:13,1.799
E85,3,2024-09-11 22:44:50,0.869
E85,3,2024-09-12 09:22:55,0.849
E85,3,2024-09-13 10:03:34,0.869
Gazole,1,2024-09-16 13:00:28,2.090
SP95,2,2024-09-16 13:00:29,2.190
SP98,6,2024-09-16 13:00:29,2.240
GPLc,4,2024-09-17 12:23:46,0.999
E85,3,2024-09-17 12:24:55,0.799
GPLc,4,2024-09-18 08:44:48,0.965
E85,3,2024-09-19 09:02:03,0.798
Gazole,1,2024-09-19 19:58:26,1.650
E10,5,2024-09-19 19:58:26,1.750
SP98,6,2024-09-19 19:58:26,1.900
GPLc,4,2024-09-22 09:44:35,1.000
E85,3,2024-09-23 07:40:22,0.799
E85,3,2024-09-23 11:30:54,0.849
E85,3,2024-09-24 09:23:08,0.758
GPLc,4,2024-09-24 12:15:20,1.059
E85,3,2024-09-25 07:37:12,0.810
GPLc,4,2024-09-25 08:48:36,0.999
GPLc,4,2024-09-25 09:44:51,0.995
E85,3,2024-09-26 13:01:37,0.999
Gazole,1,2024-09-26 13:01:37,1.789
SP95,2,2024-09-26 13:01:37,1.929
SP98,6,2024-09-26 13:01:37,1.969
E85,3,2024-09-27 10:38:27,0.900
Gazole,1,2024-09-27 10:59:22,1.800
SP95,2,2024-09-27 10:59:22,1.940
E85,3,2024-10-01 11:31:09,0.799
GPLc,4,2024-10-02 08:45:45,0.930
GPLc,4,2024-10-02 11:42:01,1.079
E85,3,2024-10-05 12:09:10,0.890
Gazole,1,2024-10-07 00:01:00,1.695
E10,5,2024-10-07 00:01:00,1.794
SP98,6,2024-10-07 00:01:00,1.904
E85,3,2024-10-07 07:51:24,0.899
Gazole,1,2024-10-07 10:37:27,1.726
SP95,2,2024-10-07 10:37:27,1.836
SP98,6,2024-10-07 10:37:57,1.864
GPLc,4,2024-10-07 11:17:32,0.904
E85,3,2024-10-07 12:18:34,0.759
Gazole,1,2024-10-07 14:25:39,1.690
E10,5,2024-10-07 14:25:39,1.780
SP98,6,2024-10-07 14:25:40,1.840
GPLc,4,2024-10-08 05:46:04,0.990
GPLc,4,2024-10-08 07:01:54,0.920
E85,3,2024-10-08 14:28:04,0.756
GPLc,4,2024-10-08 20:00:00,1.019
GPLc,4,2024-10-09 08:30:00,0.974
GPLc,4,2024-10-09 11:58:04,0.949
E85,3,2024-10-09 16:19:50,0.919
Gazole,1,2024-10-09 16:19:50,1.629
E10,5,2024-10-09 16:19:50,1.789
SP98,6,2024-10-09 16:19:50,1.799
E85,3,2024-10-10 07:41:23,0.799
